1	-1008.93
1	-973.16
1	-956.51
1	-947.26
1	-939.83
1	-825.61
1	-703.23
1	-699.25
1	-659.03
1	-645.63
1	-631.65
1	-625.85
1	-615.83
1	-599.18
1	-591.86
1	-590.4
1	-563.08
1	-555.2
1	-535
1	-527.5
1	-516.5
1	-449.63
1	-443.35
1	-423.93
1	-404.55
1	-398.53
1	-384.5
1	-375.58
1	-333.23
1	-324.2
1	-301.38
1	-298.53
1	-276.13
1	-218.45
1	-199.08
1	-191.28
1	-178.05
1	-171.45
1	-165.85
1	-156.3
1	-135.55
1	-96.08
1	-66.78
1	-58.88
1	-49.13
1	-21.33
1	1.82
1	5.02
1	12.35
1	33.92
1	38.78
1	54.85
1	55.87
1	64.63
1	74.28
1	77.1
1	84.93
1	97.9
1	99
1	103.82
1	112.53
1	120.5
1	122.87
1	124.4
1	126.7
1	129.52
1	135.93
1	141.75
1	158.5
1	163.37
1	164.67
1	170.12
1	183.6
1	194.02
1	197.4
1	203.05
1	210.1
1	219.95
1	243.77
1	248.75
1	263.65
1	274.4
1	276.6
1	284.35
1	301.95
1	302.83
1	303.93
1	315.63
1	330.3
1	345.03
1	382.62
1	384
1	392.58
1	401.1
1	447.9
1	451.95
1	474.78
1	488.22
1	495.05
1	557.26
1	587.98
1	617.6
1	657.93
1	671.15
1	719.68
1	721.98
1	741.93
1	758.98
1	781.75
1	784.08
1	785.43
1	793.08
1	794.13
1	804.63
1	810.8
1	832.28
1	849.05
1	876.13
1	888.93
1	891.63
1	908.7
1	914.83
1	931.43
1	944.85
1	955.55
1	994.05
1	1007.98
1	1018.15
1	1077.53
1	1081.75
1	1121.73
1	1124.55
1	1142.13
1	1166.05
1	1175.5
1	1186.23
1	1198.15
1	1203.8
1	1236.63
1	1293.18
1	1322
1	1325.78
1	1330.15
1	1331.73
1	1332.73
1	1344.15
1	1360.05
1	1368.78
1	1379.56
1	1392.06
1	1398.18
1	1401.15
1	1403.18
1	1420.93
1	1441.43
1	1471.56
1	1478.04
1	1482.15
1	1483.88
1	1522.46
1	1537.21
1	1544.31
1	1557.33
1	1558.13
1	1577.56
1	1605.86
1	1630.33
1	1649.53
1	1661.45
2	-1102.02
2	-977.82
2	-959.32
2	-918.42
2	-898.99
2	-853.72
2	-832.44
2	-830.07
2	-797.04
2	-781.67
2	-755.79
2	-752.74
2	-682.22
2	-672.39
2	-644.39
2	-625.54
2	-619.09
2	-605.42
2	-580.82
2	-574.84
2	-555.04
2	-530.37
2	-524.94
2	-515.82
2	-498.24
2	-452.79
2	-409.39
2	-362.84
2	-318.54
2	-282.79
2	-232.17
2	-227.97
2	-218.59
2	-204.82
2	-164.49
2	-152.02
2	-61.32
2	9.01
2	25.06
2	28.41
2	41.91
2	61.16
2	68.26
2	71.44
2	73.86
2	81.76
2	84.91
2	89.34
2	97.33
2	112.54
2	122.06
2	137.63
2	155.16
2	180.04
2	181.06
2	208.84
2	221.41
2	225.74
2	234.11
2	263.49
2	299.11
2	306.39
2	311.31
2	374.34
2	413.69
2	421.36
2	442.09
2	451.16
2	497.96
2	501.19
2	510.44
2	520.59
2	530.76
2	560.49
2	585.91
2	587.84
2	618.74
2	637.46
2	661.51
2	669.91
2	709.34
2	717.91
2	734.41
2	735.31
2	737.99
2	741.59
2	755.49
2	778.69
2	801.84
2	805.41
2	818.64
2	835.99
2	847.11
2	851.34
2	882.34
2	892.51
2	900.21
2	928.79
2	947.04
2	957.74
2	986.59
2	994.11
2	1040.44
2	1042.71
2	1092.74
2	1110.81
2	1120.69
2	1121.92
2	1161.39
2	1186.14
2	1262.02
2	1264.22
2	1296.99
2	1310.02
2	1328.44
2	1330.04
2	1334.67
2	1347.52
2	1356.02
2	1367.92
2	1380.37
2	1384.72
2	1420.02
2	1428.62
2	1466.52
2	1498.69
2	1511.39
2	1534.84
2	1593.39
2	1598.64
2	1600.77
2	1617.87
2	1674.89
2	1695.29
2	1698.29
2	1707.32
2	1731.69
2	1746.12
2	1762.29
2	1765.84
2	1768.29
2	1809.39
2	1819.89
2	1830.97
2	1834.72
2	1854.19
2	1901.54
2	1915.49
2	1932.55
2	1944.89
2	1968.79
2	1975.87
2	1987.69
2	1995.49
2	2003.37
2	2014.34
2	2015.92
2	2079.5
2	2082.22
2	2085.32
2	2087.64
2	2104.35
2	2110.34
2	2119.07
2	2129.92
2	2141.45
2	2180.97
2	2199.82
2	2201.62
2	2202.94
2	2207.09
2	2221.02
2	2223.67
2	2236.72
2	2239.62
2	2245.4
2	2247.64
2	2249.44
2	2255.17
2	2261.85
2	2276.3
2	2292.89
2	2321.72
2	2345.44
4	-1219.78
4	-1203.93
4	-1166.4
4	-1164.93
4	-1157.65
4	-1106.18
4	-1097.3
4	-1087.38
4	-1064.1
4	-1025.7
4	-1004.65
4	-1000.23
4	-986
4	-937.25
4	-873.68
4	-780.48
4	-747.2
4	-722.55
4	-671.58
4	-647.05
4	-594.42
4	-563.83
4	-537.27
4	-494.35
4	-485.9
4	-441.92
4	-397
4	-366.88
4	-363.73
4	-361.72
4	-309.05
4	-297.12
4	-262.95
4	-219.7
4	-197
4	-108.32
4	3
4	24.13
4	37.3
4	39.98
4	45.5
4	49.58
4	60.03
4	63.48
4	76.73
4	83.13
4	84.75
4	92.2
4	110.05
4	124.83
4	125.78
4	150.43
4	167.93
4	199.1
4	208.93
4	236.35
4	247.48
4	262.98
4	275.48
4	289.05
4	291.3
4	348.03
4	386.3
4	400.3
4	486.53
4	499.2
4	530.48
4	550.3
4	566.85
4	569.78
4	593.48
4	605.71
4	623.21
