127	12	742	1988	24	-6	0	50	50	NA
128	12	742	500	24	-6	1	50	50	700
129	12	1988	742	24	-6	1	50	50	700
130	12	500	742	24	-6	1	50	50	800
131	8	742	0	-24	-2859	1	50	0	800
132	8	1988	0	24	-2859	1	50	0	750
133	8	742	0	-6	-2859	1	50	0	700
134	12	742	500	-24	6	0	50	50	NA
135	8	1988	0	6	-2859	1	50	0	700
136	8	500	0	6	-2859	1	50	0	700
137	8	500	0	-24	-2859	1	50	0	750
138	8	1988	0	-24	-2859	0	50	0	NA
139	12	500	742	24	-6	0	50	50	NA
140	8	742	0	-6	-2859	1	50	0	800
141	8	742	0	-6	-2859	1	50	0	700
142	12	742	1988	-24	6	0	50	50	800
143	12	1988	742	24	-6	1	50	50	750
144	8	742	0	-24	-2859	1	50	0	700
145	8	500	0	-24	-2859	1	50	0	800
146	8	1988	0	-24	-2859	1	50	0	700
147	12	500	742	24	-6	1	50	50	750
148	12	742	500	-24	6	0	50	50	NA
149	8	1988	0	24	-2859	1	50	0	700
150	8	500	0	6	-2859	0	50	0	800
151	12	1988	742	24	-6	1	50	50	750
152	8	500	0	6	-2859	1	50	0	700
153	8	742	0	-24	-2859	1	50	0	800
154	12	742	500	-24	6	1	50	50	700
155	8	1988	0	6	-2859	1	50	0	800
156	8	742	0	-6	-2859	1	50	0	700
157	8	1988	0	-24	-2859	1	50	0	750
158	12	500	742	-24	6	1	50	50	800
159	8	1988	0	24	-2859	1	50	0	700
160	8	1988	0	24	-2859	1	50	0	750
161	12	1988	742	-24	6	0	50	50	700
162	8	1988	0	24	-2859	1	50	0	800
163	12	742	500	24	-6	1	50	50	700
164	8	742	0	6	-2859	1	50	0	800
165	12	1988	742	24	-6	1	50	50	700
166	8	500	0	6	-2859	0	50	0	750
167	8	500	0	-6	-2859	1	50	0	700
168	12	742	500	-24	6	0	50	50	800
169	12	500	742	-24	6	1	50	50	800
170	12	742	500	24	-6	1	50	50	800
171	12	500	742	-24	6	1	50	50	700
172	12	742	1988	-24	6	0	50	50	NA
173	12	742	500	24	-6	1	50	50	700
174	12	742	500	-24	6	0	50	50	750
175	12	1988	742	-24	6	1	50	50	700
176	12	500	742	24	-6	1	50	50	750
177	8	500	0	-24	-2859	1	50	0	700
178	12	500	742	-24	6	0	50	50	NA
179	8	742	0	-6	-2859	0	50	0	800
180	12	1988	742	-24	6	0	50	50	800
181	8	742	0	-6	-2859	1	50	0	700
182	8	742	0	24	-2859	1	50	0	750
183	12	742	1988	-24	6	0	50	50	NA
184	8	742	0	-6	-2859	1	50	0	700
185	12	742	1988	24	-6	0	50	50	750
186	12	742	500	-24	6	1	50	50	700
187	12	1988	742	24	-6	0	50	50	NA
188	8	1988	0	-24	-2859	0	50	0	NA
189	8	500	0	6	-2859	1	50	0	800
190	8	1988	0	6	-2859	0	50	0	NA
191	12	1988	742	-24	6	0	50	50	NA
192	12	742	1988	24	-6	1	50	50	800
193	12	742	1988	-24	6	1	50	50	750
194	12	1988	742	-24	6	1	50	50	800
195	8	1988	0	24	-2859	1	50	0	800
196	12	500	742	24	-6	0	50	50	700
197	12	500	742	-24	6	0	50	50	NA
198	12	742	500	-24	6	0	50	50	NA
199	8	500	0	24	-2859	0	50	0	NA
200	12	1988	742	-24	6	0	50	50	NA
201	12	742	500	-24	6	1	50	50	700
202	8	742	0	-6	-2859	1	50	0	700
203	12	500	742	24	-6	1	50	50	800
204	12	742	1988	24	-6	0	50	50	NA
205	8	742	0	6	-2859	1	50	0	700
206	12	742	500	-24	6	0	50	50	700
207	8	500	0	-24	-2859	1	50	0	750
208	12	500	742	24	-6	1	50	50	800
209	12	742	1988	24	-6	1	50	50	800
210	12	742	500	24	-6	0	50	50	NA
211	8	742	0	6	-2859	0	50	0	750
212	8	742	0	-24	-2859	1	50	0	800
213	12	742	500	24	-6	1	50	50	700
214	8	1988	0	6	-2859	1	50	0	800
215	8	1988	0	-6	-2859	1	50	0	800
216	12	500	742	24	-6	1	50	50	700
217	8	500	0	24	-2859	0	50	0	NA
218	12	742	1988	24	-6	0	50	50	NA
219	8	742	0	6	-2859	1	50	0	800
220	8	500	0	-6	-2859	1	50	0	700
221	12	1988	742	-24	6	1	50	50	800
222	12	500	742	24	-6	0	50	50	NA
223	8	742	0	24	-2859	0	50	0	NA
224	8	1988	0	24	-2859	0	50	0	NA
225	12	1988	742	-24	6	0	50	50	NA
226	12	500	742	-24	6	0	50	50	NA
227	12	1988	742	-24	6	0	50	50	700
228	8	500	0	6	-2859	0	50	0	750
229	12	1988	742	-24	6	0	50	50	NA
230	12	1988	742	-24	6	0	50	50	800
231	12	1988	742	-24	6	0	50	50	NA
232	12	742	500	-24	6	0	50	50	NA
233	12	1988	742	-24	6	1	50	50	800
234	12	500	742	24	-6	0	50	50	NA
235	12	500	742	-24	6	1	50	50	800
236	12	742	500	24	-6	1	50	50	700
237	12	1988	742	-24	6	0	50	50	700
238	8	742	0	6	-2859	1	50	0	750
239	12	742	500	24	-6	1	50	50	800
240	8	742	0	-24	-2859	1	50	0	700
241	12	742	500	24	-6	1	50	50	750
242	8	742	0	24	-2859	1	50	0	800
243	8	1988	0	24	-2859	1	50	0	700
244	12	742	500	24	-6	1	50	50	800
245	12	742	500	-24	6	1	50	50	750
246	12	500	742	-24	6	0	50	50	800
247	12	1988	742	24	-6	0	50	50	NA
248	8	1988	0	-24	-2859	0	50	0	NA
249	12	742	1988	24	-6	1	50	50	700
250	8	742	0	24	-2859	1	50	0	800
251	8	1988	0	24	-2859	0	50	0	NA
252	12	742	1988	24	-6	1	50	50	700
253	8	500	0	6	-2859	1	50	0	800
254	12	742	1988	-24	6	1	50	50	700
255	12	1988	742	24	-6	1	50	50	700
256	12	742	1988	-24	6	1	50	50	800
257	12	742	1988	24	-6	0	50	50	NA
258	12	500	742	24	-6	1	50	50	750
259	8	500	0	-6	-2859	1	50	0	700
260	12	500	742	24	-6	1	50	50	750
261	12	1988	742	-24	6	1	50	50	700
262	12	742	500	24	-6	1	50	50	800
263	12	742	1988	24	-6	1	50	50	700
264	8	500	0	-24	-2859	1	50	0	800
265	12	742	1988	-24	6	1	50	50	800
266	8	742	0	6	-2859	1	50	0	800
267	12	742	500	-24	6	1	50	50	750
268	12	1988	742	-24	6	1	50	50	700
269	8	742	0	-24	-2859	1	50	0	700
270	12	1988	742	24	-6	1	50	50	800
271	12	500	742	24	-6	0	50	50	700
272	8	500	0	6	-2859	0	50	0	700
273	8	742	0	6	-2859	1	50	0	750
274	8	500	0	24	-2859	1	50	0	800
275	8	742	0	24	-2859	0	50	0	NA
276	8	500	0	-6	-2859	1	50	0	700
277	12	1988	742	24	-6	0	50	50	750
278	8	1988	0	-24	-2859	0	50	0	NA
279	12	742	1988	24	-6	0	50	50	700
280	8	1988	0	24	-2859	0	50	0	NA
281	8	1988	0	6	-2859	0	50	0	NA
282	12	742	500	-24	6	0	50	50	NA
283	8	500	0	-24	-2859	0	50	0	NA
284	8	500	0	-6	-2859	1	50	0	800
285	12	742	1988	24	-6	0	50	50	NA
286	8	1988	0	24	-2859	0	50	0	NA
